x @  cent_trace_len @  decent_trace_len @  odecent_trace_len @  cent_num_mess @  decent_num_mess @  odecent_num_mess @  cent_size_mess @  decent_size_mess @  odecent_size_mess @  cent_nb_progressions @  decent_nb_progressions @  odecent_nb_progressions @  formula @  trace
3 @ 11 @ 12 @ 12 @ 30 @ 6 @ 11 @ 1. @ 1.81 @ 2.42 @ 39 @ 98 @ 166 @ Next (Until (Neg (Var "a"), Ev (Var "b"))) @ {a|b|c} ; { | | } ; {a| | } ; {a| |c} ; { | |c} ; {a| |c} ; {a| |c} ; { | |c} ; { | |c} ; { | |c} ; {a|b|c} ; { | |c} ; { |b| } ; { |b|c} ; { |b| } ; { | |c} ; { |b|c} ; { |b|c} ; { |b| } ; { |b| } ; {a| | } ; { | |c} ; {a| | } ; {a| |c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a|b| } ; { | | } ; {a| |c} ; {a|b|c} ; {a| |c} ; {a| | } ; { |b|c} ; {a| |c} ; {a| |c} ; {a|b|c} ; { |b|c} ; { | |c} ; {a| | } ; {a|b| } ; {a|b|c} ; {a| |c} ; { | |c} ; { |b|c} ; { | | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b| } ; {a|b|c} ; { |b| } ; {a|b| } ; {a|b|c} ; { | | } ; { | |c} ; { | | } ; {a| | } ; {a|b|c} ; {a| | } ; {a| |c} ; { | | } ; {a|b|c} ; { | |c} ; { |b|c} ; { | |c} ; { |b|c} ; {a| | } ; {a| | } ; { |b| } ; { |b| } ; {a|b| } ; { | | } ; { | |c} ; { |b| } ; {a| |c} ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; { | | } ; {a|b|c} ; {a| |c} ; { |b| } ; {a|b| } ; { |b| } ; {a|b| } ; { | |c} ; {a|b| } ; { | |c} ; {a|b|c} ; { |b|c} ; {a| | } ; { | |c} ; { |b| } ; {a| |c} ; { | | } ; {a|b|c} ; {a| |c} ; { | |c}
3 @ 14 @ 16 @ 14 @ 39 @ 8 @ 38 @ 1. @ 4.37 @ 7.3 @ 224 @ 405 @ 489 @ Glob (Until (And (Or (Neg (Var "b"), Var "c"), Or (Neg (Var "c"), Var "b")), Var "c")) @ { | |c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| |c} ; {a| |c} ; { | | } ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | | } ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a|b| } ; { | | } ; {a|b|c} ; { | |c} ; { | |c} ; {a|b|c} ; {a|b|c} ; {a| | } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| | } ; { | | } ; {a| |c} ; {a| | } ; { |b|c} ; { |b|c} ; { | | } ; { | | } ; { |b|c} ; { | | } ; {a| |c} ; { |b|c} ; { |b| } ; {a| | } ; {a| |c} ; {a| | } ; {a|b| } ; {a|b| } ; { | |c} ; { | |c} ; { |b| } ; {a| |c} ; {a| |c} ; {a| | } ; {a| | } ; { | |c} ; { |b| } ; {a| | } ; {a| | } ; { |b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; {a| | } ; {a| |c} ; {a|b| } ; {a| | } ; { | | } ; { |b| } ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; {a|b| } ; { | | } ; {a| |c} ; { | | } ; { |b| } ; { |b| } ; { |b|c} ; {a| | } ; { |b| } ; {a|b| } ; { | | } ; { |b| } ; { |b|c} ; {a|b|c} ; { |b|c} ; { | | } ; { |b| } ; { |b| } ; { |b| } ; {a|b|c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b| } ; {a|b|c} ; { |b| } ; { |b|c} ; { | | } ; {a| | } ; {a| |c} ; {a| | } ; {a|b|c}
3 @ 23 @ 25 @ 24 @ 66 @ 18 @ 92 @ 1. @ 7.56 @ 11.24 @ 192 @ 822 @ 366 @ Until (And (Or (Or (Neg (Var "b"), Neg (Var "a")), Var "c"), Or (Neg (Var "c"), And (Var "b", Var "a"))), Glob (Until (Var "b", Var "a"))) @ {a|b|c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a| | } ; {a|b| } ; {a| | } ; {a| |c} ; { |b| } ; {a|b| } ; {a| |c} ; { |b| } ; { | |c} ; { |b| } ; {a|b|c} ; { |b|c} ; {a|b| } ; {a|b| } ; {a| |c} ; { |b| } ; { |b|c} ; {a|b|c} ; { | |c} ; {a| |c} ; { |b| } ; { | | } ; {a|b| } ; {a|b| } ; {a| |c} ; { |b| } ; {a| | } ; {a| |c} ; {a|b|c} ; { | |c} ; {a| |c} ; {a| | } ; {a| | } ; { |b| } ; {a| | } ; { |b|c} ; {a|b|c} ; {a| | } ; {a|b| } ; { |b| } ; {a|b|c} ; {a| |c} ; { | | } ; { | | } ; {a| | } ; {a|b| } ; { | | } ; { | |c} ; {a|b| } ; {a|b| } ; {a| | } ; {a| | } ; {a| | } ; { |b| } ; { | |c} ; { |b|c} ; { |b|c} ; {a|b|c} ; {a| |c} ; {a| |c} ; {a|b|c} ; { | |c} ; { |b|c} ; {a|b|c} ; {a|b| } ; {a| | } ; { | | } ; { | | } ; { | |c} ; { |b| } ; {a|b| } ; {a|b|c} ; {a|b| } ; { | |c} ; {a| |c} ; { | | } ; { | |c} ; {a| | } ; { |b|c} ; { |b|c} ; {a| |c} ; {a| | } ; {a| | } ; { |b| } ; {a|b|c} ; {a| | } ; {a| |c}
3 @ 10 @ 12 @ 11 @ 27 @ 7 @ 10 @ 1. @ 2.18 @ 2.36 @ 50 @ 146 @ 62 @ Glob (Until (Var "c", Var "b")) @ { |b|c} ; { |b| } ; { |b| } ; {a| |c} ; { |b| } ; { |b| } ; {a| |c} ; { |b| } ; { |b| } ; {a| | } ; { |b|c} ; {a|b| } ; { |b| } ; { | | } ; {a| | } ; { | |c} ; {a|b| } ; {a|b| } ; {a| |c} ; {a|b| } ; { |b|c} ; { | |c} ; { |b|c} ; {a| | } ; {a|b|c} ; { | |c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b|c} ; { | |c} ; { | | } ; {a| | } ; {a| | } ; { |b| } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b| } ; { | | } ; { |b| } ; { | | } ; {a|b|c} ; { | | } ; { |b|c} ; {a| |c} ; { | | } ; {a| | } ; { | |c} ; {a|b|c} ; { |b| } ; { |b| } ; {a| |c} ; {a| |c} ; { |b| } ; {a| |c} ; {a|b|c} ; {a| | } ; { | | } ; {a| |c} ; { | |c} ; {a|b|c} ; { |b|c} ; { |b|c} ; {a|b|c} ; { |b|c} ; {a|b|c} ; { | |c} ; {a| | } ; { | |c} ; {a|b| } ; { | |c} ; { |b|c} ; { | | } ; {a|b|c} ; { | |c} ; {a|b|c} ; { |b| } ; {a|b| } ; {a| |c} ; {a| |c} ; {a| | } ; {a| | } ; {a| | } ; {a|b| } ; { | |c} ; {a| |c} ; {a|b|c} ; {a|b| } ; { | | } ; {a|b|c} ; { | | } ; {a| | } ; {a|b| } ; { |b| } ; {a| |c} ; { | |c} ; { | |c} ; {a| |c}
3 @ 8 @ 10 @ 8 @ 21 @ 8 @ 14 @ 1. @ 11.07 @ 4.38 @ 197 @ 492 @ 213 @ And (Glob (Or (Glob (Neg (Var "a")), Or (Var "a", Var "c"))), Glob (Or (And (Neg (Var "a"), Neg (Var "c")), Ev (Var "a")))) @ { | |c} ; { |b|c} ; {a|b|c} ; {a| |c} ; {a|b| } ; {a| |c} ; { |b| } ; {a|b| } ; { |b| } ; { | |c} ; {a| | } ; {a|b| } ; { |b| } ; { |b|c} ; {a|b| } ; {a| |c} ; { | |c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b|c} ; { |b|c} ; {a|b|c} ; { | |c} ; { | |c} ; {a| | } ; {a| | } ; { |b| } ; { |b| } ; {a| |c} ; { |b|c} ; { |b| } ; { | | } ; { |b| } ; {a|b|c} ; {a| | } ; { | | } ; {a| | } ; { | | } ; {a| |c} ; { | | } ; { | | } ; {a|b|c} ; {a| | } ; { |b|c} ; { | |c} ; { | |c} ; { | |c} ; { | |c} ; {a|b| } ; {a|b| } ; {a|b| } ; { | | } ; {a| |c} ; { |b|c} ; {a|b| } ; {a| |c} ; {a|b| } ; { |b|c} ; { |b| } ; { | |c} ; { | |c} ; { | | } ; {a|b|c} ; {a|b| } ; { |b| } ; { |b|c} ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| | } ; { |b|c} ; { |b| } ; { | | } ; {a|b| } ; {a|b|c} ; {a|b| } ; { | |c} ; {a|b| } ; { |b| } ; {a| |c} ; { | |c} ; { |b|c} ; {a| | } ; {a| | } ; {a| |c} ; {a| |c} ; { |b|c} ; { |b| } ; {a|b| } ; {a| | } ; {a| | } ; {a|b|c} ; { |b|c} ; { |b|c} ; { | |c} ; { |b|c} ; { | |c} ; { | | } ; { |b|c} ; { | |c}
3 @ 8 @ 10 @ 10 @ 21 @ 8 @ 17 @ 1. @ 3.81 @ 4.29 @ 76 @ 172 @ 131 @ Glob (Or (Var "b", Until (Var "a", Var "b"))) @ {a|b| } ; {a| | } ; {a|b| } ; {a| |c} ; { |b|c} ; { |b|c} ; {a|b|c} ; { | | } ; {a| |c} ; {a|b|c} ; { |b|c} ; {a| |c} ; { |b| } ; { | | } ; {a| |c} ; {a| | } ; { | | } ; {a| | } ; {a|b| } ; { |b| } ; { | |c} ; {a|b| } ; { |b| } ; { | | } ; { | |c} ; {a|b|c} ; {a| |c} ; { |b| } ; { |b| } ; {a| |c} ; {a|b| } ; {a|b| } ; { | | } ; {a| | } ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; {a| | } ; {a| |c} ; { |b| } ; { |b|c} ; {a|b|c} ; { | |c} ; { |b| } ; {a| |c} ; {a| | } ; {a| | } ; {a|b| } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a|b|c} ; { | |c} ; { | | } ; { |b|c} ; { | |c} ; { |b|c} ; { |b| } ; { | |c} ; { |b| } ; {a| |c} ; { | | } ; {a|b|c} ; { |b| } ; {a|b|c} ; {a|b| } ; { | |c} ; { |b| } ; {a|b| } ; { |b|c} ; {a| | } ; {a| | } ; { |b| } ; { |b|c} ; { |b| } ; {a| | } ; { |b|c} ; { |b|c} ; {a| | } ; {a| | } ; { | | } ; { |b|c} ; { |b| } ; {a|b| } ; {a|b|c} ; { | |c} ; {a|b| } ; {a| |c} ; { | | } ; { |b| } ; { |b|c} ; { | | } ; {a|b|c} ; {a|b|c} ; { | | } ; {a| |c} ; {a| | } ; { | | } ; { |b|c}
3 @ 10 @ 11 @ 11 @ 27 @ 4 @ 22 @ 1. @ 7.03 @ 5.06 @ 116 @ 359 @ 219 @ And (Or (Glob (Next (Neg (Var "b"))), Until (And (Or (Neg (Var "b"), Var "a"), Or (Neg (Var "a"), Var "b")), Var "a")), Or (Neg (Until (And (Or (Neg (Var "b"), Var "a"), Or (Neg (Var "a"), Var "b")), Var "a")), Ev (Next (Var "b")))) @ { |b|c} ; { | |c} ; { | | } ; { | | } ; { | | } ; {a| | } ; {a| | } ; {a| |c} ; { | |c} ; {a|b|c} ; {a| | } ; {a| | } ; {a| |c} ; {a| | } ; {a|b|c} ; { |b| } ; {a| | } ; {a|b|c} ; { |b|c} ; { |b| } ; {a| |c} ; {a|b|c} ; { |b| } ; { | |c} ; {a|b|c} ; {a| | } ; { |b|c} ; { |b| } ; { | | } ; { |b|c} ; { |b|c} ; {a|b| } ; { | |c} ; { | | } ; {a| |c} ; { | |c} ; { | |c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b| } ; {a|b|c} ; { | | } ; {a| |c} ; {a|b|c} ; { | |c} ; { |b|c} ; { | |c} ; {a|b| } ; {a|b|c} ; {a|b|c} ; { |b|c} ; { | |c} ; {a| | } ; {a|b|c} ; {a|b| } ; { |b|c} ; {a| | } ; {a|b|c} ; {a| |c} ; {a| |c} ; {a|b|c} ; { | | } ; { |b|c} ; {a|b|c} ; {a|b|c} ; { | | } ; {a|b| } ; { |b| } ; { | | } ; { | |c} ; {a| |c} ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b|c} ; {a|b|c} ; { |b|c} ; {a| |c} ; { |b| } ; {a|b|c} ; {a|b|c} ; { | | } ; { |b|c} ; { |b| } ; { | | } ; { | | } ; { |b|c} ; {a| | } ; { | | } ; { | | } ; { | | } ; {a|b| } ; {a| | } ; {a| |c} ; {a| | } ; { |b|c} ; {a|b|c} ; {a| | } ; {a| |c} ; { | |c}
3 @ 8 @ 10 @ 9 @ 21 @ 6 @ 8 @ 1. @ 1.7 @ 2.25 @ 40 @ 80 @ 50 @ Ev (And (Var "c", Var "a")) @ {a|b| } ; { | | } ; { |b| } ; { |b|c} ; { | | } ; { | | } ; {a|b| } ; {a|b|c} ; { | | } ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b|c} ; { |b|c} ; { |b| } ; { |b| } ; { | | } ; {a|b| } ; {a| | } ; {a| |c} ; {a|b|c} ; {a|b|c} ; { | |c} ; { |b| } ; {a|b| } ; {a|b| } ; {a| |c} ; { | |c} ; {a| | } ; {a| |c} ; {a|b|c} ; { | | } ; {a|b| } ; { | |c} ; { | |c} ; {a| |c} ; { |b|c} ; {a| | } ; {a| |c} ; { | | } ; {a| | } ; {a| | } ; {a|b|c} ; { |b| } ; {a| | } ; {a| |c} ; { |b|c} ; { |b| } ; {a| |c} ; {a| | } ; { |b| } ; {a|b|c} ; {a|b| } ; { |b|c} ; {a| |c} ; { |b| } ; { |b|c} ; {a| |c} ; { |b|c} ; { | |c} ; {a| | } ; { |b| } ; {a|b|c} ; {a| |c} ; {a|b| } ; {a| | } ; { | | } ; {a| |c} ; { |b| } ; {a| | } ; { | |c} ; { |b|c} ; {a| | } ; {a| | } ; { | |c} ; { |b| } ; { | | } ; {a| | } ; {a| |c} ; { | |c} ; {a| | } ; { |b|c} ; { |b| } ; { | | } ; { | | } ; { |b| } ; {a| | } ; {a| | } ; { | | } ; { |b| } ; {a| | } ; {a|b|c} ; {a|b| } ; {a|b|c} ; { | | } ; { |b| } ; { | |c} ; { | |c} ; {a|b| } ; { |b| }
3 @ 8 @ 9 @ 8 @ 21 @ 2 @ 0 @ 1. @ 0.58 @ 0. @ 25 @ 44 @ 25 @ Next (Glob (Neg (Var "c"))) @ {a| |c} ; {a| | } ; { | | } ; {a|b| } ; { | | } ; { |b| } ; { |b| } ; {a| |c} ; {a|b| } ; { | | } ; {a|b|c} ; { | | } ; { |b|c} ; { |b| } ; { | |c} ; { | | } ; { | |c} ; { | | } ; { |b|c} ; {a|b| } ; { | | } ; {a| | } ; {a|b|c} ; { |b| } ; { | | } ; { | |c} ; {a| | } ; { | |c} ; { |b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; { | |c} ; { |b| } ; { |b|c} ; { |b|c} ; {a| |c} ; {a| | } ; { |b|c} ; { |b| } ; { | |c} ; { | | } ; {a| |c} ; {a| | } ; { | | } ; {a|b|c} ; {a|b| } ; {a| | } ; {a|b| } ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b| } ; { |b|c} ; { |b| } ; { | | } ; { |b|c} ; {a|b| } ; {a|b| } ; { |b| } ; { |b| } ; {a| | } ; { | |c} ; { |b|c} ; { |b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; {a|b| } ; {a|b|c} ; { |b| } ; {a| | } ; {a| |c} ; {a|b| } ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; { | | } ; {a| | } ; { | | } ; {a|b|c} ; {a| | } ; {a| |c} ; {a| | } ; {a| |c} ; { | | } ; { |b| } ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b| } ; { | | } ; {a|b| } ; {a|b| } ; { |b| } ; { | | } ; { |b| } ; {a|b| } ; { |b| } ; { |b|c}
3 @ 9 @ 10 @ 9 @ 24 @ 2 @ 0 @ 1. @ 0.37 @ 0. @ 19 @ 34 @ 19 @ Next (Ev (Var "c")) @ {a| | } ; { |b| } ; { | | } ; {a| | } ; {a| | } ; { |b| } ; { | | } ; {a| | } ; { |b|c} ; {a|b|c} ; {a| | } ; {a| |c} ; { |b| } ; { |b|c} ; { | |c} ; {a| | } ; { |b| } ; {a| |c} ; {a|b| } ; {a|b| } ; { |b|c} ; {a|b| } ; { | | } ; {a|b| } ; {a|b|c} ; { |b|c} ; {a| | } ; { | | } ; { | | } ; {a| | } ; { |b| } ; {a| | } ; {a| | } ; {a| | } ; { | |c} ; { |b|c} ; { |b| } ; {a|b|c} ; { | |c} ; { | | } ; {a| |c} ; {a| |c} ; {a| |c} ; { |b|c} ; {a| |c} ; { |b| } ; { |b| } ; { | |c} ; { | |c} ; { | |c} ; {a| | } ; {a| | } ; { |b| } ; { |b|c} ; { | | } ; { | | } ; {a| |c} ; {a| | } ; {a|b| } ; {a| | } ; { | | } ; {a| | } ; { |b|c} ; {a| | } ; { |b| } ; { | | } ; {a|b|c} ; { |b|c} ; {a| | } ; { |b| } ; {a| |c} ; { | |c} ; {a|b| } ; { | | } ; { | | } ; {a|b| } ; { |b| } ; { | |c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; { |b| } ; {a| |c} ; {a|b| } ; { |b|c} ; {a| | } ; { |b| } ; {a| |c} ; { | |c} ; {a|b| } ; { | |c} ; {a|b| } ; {a| |c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; {a| | }
3 @ 10 @ 12 @ 11 @ 27 @ 5 @ 10 @ 1. @ 1.9 @ 2.36 @ 114 @ 214 @ 126 @ Glob (Next (Or (Var "c", Var "b"))) @ { |b|c} ; {a|b| } ; {a|b|c} ; {a|b|c} ; {a| |c} ; { |b|c} ; { |b|c} ; {a|b| } ; {a|b| } ; { | | } ; {a|b|c} ; { |b|c} ; {a| |c} ; { | |c} ; { |b|c} ; {a| | } ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b| } ; {a|b|c} ; { | | } ; {a|b|c} ; { | | } ; { | | } ; { |b|c} ; { | |c} ; { |b|c} ; {a| |c} ; { | | } ; {a| | } ; {a|b| } ; { |b| } ; { | | } ; { | | } ; {a| |c} ; {a|b|c} ; {a| | } ; { |b|c} ; {a| | } ; {a| | } ; { | |c} ; { | | } ; { | |c} ; {a| | } ; {a|b| } ; { |b|c} ; {a|b| } ; { |b|c} ; {a| | } ; {a| |c} ; { | |c} ; { |b|c} ; {a| |c} ; { | | } ; { |b|c} ; { | |c} ; { |b| } ; { | |c} ; {a| |c} ; {a|b| } ; { |b| } ; {a|b|c} ; { |b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; { | |c} ; {a| |c} ; {a| | } ; { | | } ; { | | } ; {a| |c} ; { |b| } ; {a| | } ; {a|b| } ; { | |c} ; {a| | } ; { | |c} ; { | | } ; { | |c} ; { | | } ; { |b|c} ; { | |c} ; { |b|c} ; { |b|c} ; { |b|c} ; {a| |c} ; {a| | } ; {a|b|c} ; {a|b| } ; { |b|c} ; {a| |c} ; {a|b| } ; { | |c} ; {a|b|c} ; { |b| } ; { |b|c} ; { |b| } ; { | | } ; { |b|c}
3 @ 8 @ 10 @ 9 @ 21 @ 8 @ 8 @ 1. @ 4.4 @ 2.25 @ 90 @ 228 @ 100 @ Glob (Next (Until (Var "a", Var "b"))) @ { |b|c} ; {a| | } ; { |b| } ; {a| | } ; { |b| } ; {a| |c} ; { |b|c} ; { | | } ; {a| | } ; { | |c} ; { |b| } ; {a| |c} ; {a| |c} ; {a| |c} ; { |b| } ; { |b| } ; { |b|c} ; {a| |c} ; { |b|c} ; { |b| } ; {a|b| } ; {a|b| } ; { | |c} ; { | | } ; { |b|c} ; {a| | } ; {a| |c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a| |c} ; { | |c} ; { | |c} ; {a| |c} ; {a|b|c} ; {a|b| } ; { |b| } ; {a| | } ; { |b|c} ; { |b| } ; { | |c} ; {a|b|c} ; { | | } ; {a|b|c} ; {a| | } ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| | } ; { |b| } ; {a|b| } ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b| } ; {a|b| } ; { |b|c} ; { |b| } ; {a|b|c} ; { | | } ; { |b| } ; { |b| } ; {a|b| } ; { |b|c} ; {a|b| } ; { | | } ; { | | } ; {a|b|c} ; {a|b|c} ; {a| |c} ; { |b| } ; {a| |c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; { | | } ; {a| | } ; { |b|c} ; {a| | } ; {a| | } ; {a| |c} ; {a|b| } ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b| } ; {a|b|c} ; {a|b| } ; {a|b| } ; {a|b|c} ; {a| | } ; {a|b| } ; {a| | } ; { |b| } ; { | | } ; { | | } ; { | | } ; {a| | } ; {a| | }
3 @ 10 @ 12 @ 11 @ 27 @ 5 @ 10 @ 1. @ 1.63 @ 2.36 @ 51 @ 140 @ 63 @ Next (Glob (Until (Var "c", Var "b"))) @ {a|b| } ; { |b| } ; { |b|c} ; { |b| } ; { |b|c} ; { |b|c} ; {a|b| } ; { | |c} ; {a| |c} ; {a| | } ; {a| |c} ; {a|b| } ; { | | } ; { | | } ; { | | } ; { |b|c} ; { |b|c} ; { |b| } ; {a| |c} ; {a| | } ; { |b| } ; {a|b|c} ; {a|b|c} ; { | | } ; { | | } ; {a|b| } ; { |b| } ; {a|b| } ; {a| | } ; {a| |c} ; { |b|c} ; { | |c} ; {a|b| } ; {a|b| } ; {a| |c} ; {a| |c} ; { |b|c} ; {a|b| } ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| | } ; { | |c} ; {a|b|c} ; {a| |c} ; {a| |c} ; {a|b| } ; { |b| } ; {a|b|c} ; { |b|c} ; {a| |c} ; { |b|c} ; { |b| } ; {a| |c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b| } ; {a|b|c} ; { | |c} ; { |b|c} ; {a| | } ; { | | } ; { | |c} ; { |b|c} ; {a| | } ; { |b| } ; { |b|c} ; {a| | } ; { |b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a|b| } ; { | | } ; { |b| } ; { | | } ; { | |c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b| } ; {a| | } ; { |b| } ; { |b|c} ; {a|b| } ; { | | } ; { |b| } ; { |b|c} ; { | | } ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| | } ; {a|b|c} ; {a| |c} ; { | |c} ; {a|b| } ; {a| |c}
3 @ 10 @ 12 @ 11 @ 27 @ 6 @ 10 @ 1. @ 1.48 @ 2.36 @ 50 @ 113 @ 62 @ Glob (Or (Var "c", Var "a")) @ { | |c} ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a|b|c} ; { |b|c} ; { | |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| |c} ; { | |c} ; {a| | } ; { |b|c} ; { | |c} ; {a|b|c} ; {a| | } ; { | |c} ; {a| |c} ; {a|b|c} ; {a| | } ; {a| |c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b| } ; {a| |c} ; { |b| } ; {a| |c} ; {a| | } ; {a| |c} ; { | | } ; { |b| } ; { |b| } ; { | |c} ; { |b|c} ; { | |c} ; {a|b|c} ; { |b|c} ; { | |c} ; {a|b|c} ; {a| |c} ; { |b|c} ; { |b| } ; {a|b|c} ; {a| | } ; {a|b|c} ; { | |c} ; { | |c} ; { |b|c} ; { |b|c} ; { | |c} ; {a|b| } ; {a|b| } ; { |b| } ; {a| | } ; {a|b| } ; {a| | } ; {a| |c} ; { |b| } ; { |b| } ; {a| |c} ; { | | } ; { | | } ; {a|b| } ; { | |c} ; {a|b| } ; { | | } ; { | | } ; {a| | } ; { |b|c} ; { | |c} ; { |b| } ; { | |c} ; { | |c} ; { | | } ; { | | } ; { |b|c} ; {a| | } ; { |b| } ; {a|b| } ; {a|b|c} ; { | | } ; { |b| } ; { | |c} ; { | | } ; {a| | } ; {a|b| } ; {a| | } ; { |b| } ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | | } ; { | | } ; {a|b| } ; {a| |c} ; { | |c} ; {a| |c}
3 @ 10 @ 12 @ 11 @ 27 @ 7 @ 10 @ 1. @ 1.6 @ 2.36 @ 51 @ 114 @ 63 @ Next (Glob (Or (Var "c", Var "a"))) @ { |b|c} ; { |b|c} ; {a| |c} ; { | |c} ; {a| | } ; { | |c} ; { |b|c} ; {a| | } ; {a|b| } ; { | | } ; { | | } ; { | | } ; {a| | } ; { | |c} ; { | |c} ; {a| | } ; { | | } ; { |b|c} ; {a|b| } ; { |b|c} ; { |b|c} ; { | | } ; {a| | } ; {a|b|c} ; {a| | } ; {a| |c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; { |b| } ; {a|b| } ; { | | } ; { |b| } ; {a|b|c} ; { | |c} ; { |b|c} ; { | |c} ; { | |c} ; { | |c} ; {a|b| } ; {a| |c} ; { |b| } ; {a| |c} ; {a|b|c} ; { | | } ; { | | } ; {a|b| } ; {a|b| } ; { | |c} ; { | | } ; {a| |c} ; { |b| } ; {a|b| } ; {a| |c} ; {a| |c} ; {a|b|c} ; {a|b|c} ; { | | } ; {a| | } ; {a|b| } ; {a| | } ; { |b| } ; {a| |c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b|c} ; { |b|c} ; { |b|c} ; { | |c} ; { | | } ; { | |c} ; {a| |c} ; {a|b| } ; {a|b| } ; {a| | } ; { |b|c} ; { |b|c} ; { | | } ; {a| |c} ; { |b| } ; {a| |c} ; {a| | } ; {a| | } ; {a| |c} ; { | |c} ; {a| |c} ; { |b|c} ; {a|b|c} ; {a| | } ; { | |c} ; { | |c} ; {a| |c} ; { | | } ; {a| | } ; {a| | } ; {a|b|c} ; { |b| } ; { | |c} ; {a| |c} ; {a|b| }
